customer_id,amount,merchant_name,merchant_category,country,payment_method,velocity_1h,device_age_days,location_change,new_payment_method,account_age_days,merchant_anomaly,amount_anomaly,is_fraud,attack_type
CUST_55102,4313.32,"Hudson, Stone and Mcdaniel",ECOMMERCE,US,DEBIT_CARD,5,337,0,0,1573,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_76480,1439.03,Keller-Pham,ECOMMERCE,CN,CREDIT_CARD,5,506,0,0,2409,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_88373,3101.56,"Anderson, Smith and Martin",HEALTHCARE,CN,CREDIT_CARD,6,370,0,0,732,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_68245,1918.86,"Rasmussen, Cruz and Thompson",ENTERTAINMENT,IN,DEBIT_CARD,3,220,1,0,1599,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_84873,2022.19,Hernandez PLC,ENTERTAINMENT,CN,CREDIT_CARD,2,500,0,0,1134,1,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_39005,1395.94,"Moran, Stevens and West",GROCERY,GB,DEBIT_CARD,2,542,0,0,546,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_21438,5790.69,"Welch, Daniels and Patterson",TRAVEL,NG,UPI,2,94,0,0,1819,1,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_15848,1493.41,Jones Ltd,OTHER,CN,UPI,1,184,0,0,1108,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_17482,3231.14,Hahn-Jordan,TRAVEL,US,WALLET,4,479,0,1,1614,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_29324,1418.62,Donovan PLC,FOOD,IN,CREDIT_CARD,7,434,0,0,1997,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_68381,4773.03,Freeman-Wood,ECOMMERCE,IN,WALLET,8,358,1,0,2229,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_79536,1869.09,Knapp-Woods,HEALTHCARE,CN,WALLET,3,262,0,1,2131,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_97970,4936.98,Page-Anderson,OTHER,GB,NET_BANKING,3,535,0,0,53,1,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_40206,1570.17,Coffey-Logan,EDUCATION,CN,DEBIT_CARD,4,508,0,0,2213,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_30315,4850.57,May-Ryan,TRAVEL,CN,CREDIT_CARD,8,235,1,0,1995,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_67831,4153.8,Khan-Moyer,EDUCATION,IN,WALLET,1,385,0,1,973,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_77051,1533.55,Martin-Kaiser,FOOD,GB,CREDIT_CARD,1,769,1,0,1832,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_39872,5810.94,Bates Ltd,TRAVEL,IN,NET_BANKING,6,425,0,0,1996,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_37633,3978.42,Webb-Wright,HEALTHCARE,GB,WALLET,3,471,0,0,1606,1,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_27248,1768.87,Vaughn Group,ECOMMERCE,US,UPI,1,208,1,1,1607,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_73498,3937.98,"Lester, White and Campbell",GROCERY,NG,DEBIT_CARD,1,174,0,1,2273,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_58487,3494.5,Rivera-Boone,OTHER,US,UPI,1,840,0,1,2296,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_82129,3947.78,Stark Ltd,HEALTHCARE,GB,CREDIT_CARD,7,136,0,0,1695,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_16419,3600.97,Smith-Sutton,GROCERY,GB,CREDIT_CARD,2,440,0,1,390,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_55927,1008.39,"Dean, Thomas and Williams",ECOMMERCE,GB,UPI,2,176,0,0,2329,1,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_21387,7271.81,Petersen Ltd,ENTERTAINMENT,CN,WALLET,3,292,0,0,1407,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_88001,2795.28,Mora and Sons,ENTERTAINMENT,CN,UPI,3,416,0,0,790,1,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_54147,2142.2,Ruiz Ltd,EDUCATION,GB,DEBIT_CARD,3,454,0,0,2473,1,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_72969,4064.17,"Dillon, Dennis and Sanders",GROCERY,NG,UPI,8,627,0,0,1424,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_35563,2881.62,Pruitt-Wright,ECOMMERCE,IN,NET_BANKING,3,302,0,0,1219,1,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_49546,2467.84,"Graves, Coleman and Wright",OTHER,GB,DEBIT_CARD,6,370,0,0,2091,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_99069,3056.87,Perkins Group,GROCERY,GB,DEBIT_CARD,4,624,1,0,937,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_51326,2200.35,"Stein, Booth and Carlson",FOOD,CN,DEBIT_CARD,2,41,0,0,2192,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_39075,2038.06,Odonnell-Robinson,FOOD,CN,DEBIT_CARD,7,388,0,0,1792,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_52885,2213.67,Chan-Tate,HEALTHCARE,IN,DEBIT_CARD,7,549,1,0,1987,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_49381,1168.65,Neal and Sons,ECOMMERCE,IN,CREDIT_CARD,4,389,0,0,320,1,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_80011,7091.31,"Charles, Perez and Pratt",OTHER,US,DEBIT_CARD,1,615,1,0,1055,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_84876,1238.29,Ali Group,ECOMMERCE,GB,UPI,4,190,0,1,1798,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_12038,1588.27,Sanders Group,FOOD,GB,DEBIT_CARD,4,978,1,0,30,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_10422,1529.34,Hess Ltd,HEALTHCARE,GB,CREDIT_CARD,5,609,0,0,1304,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_23293,1038.43,Mcneil PLC,EDUCATION,IN,UPI,7,496,1,0,2207,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_80402,5050.24,Brown-Daniel,ECOMMERCE,CN,WALLET,2,480,1,0,47,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_51262,9277.08,Lyons Ltd,HEALTHCARE,CN,CREDIT_CARD,1,676,0,1,328,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_39372,4709.52,"Moore, Fisher and White",GROCERY,CN,CREDIT_CARD,2,876,0,0,829,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_41992,950.7,Chambers Group,ENTERTAINMENT,NG,NET_BANKING,4,943,0,0,97,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_95262,2901.26,Williams Group,OTHER,CN,DEBIT_CARD,6,748,0,0,1287,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_27709,2694.77,Alexander-Edwards,ECOMMERCE,NG,WALLET,3,220,0,1,62,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_63270,8281.42,Scott and Sons,ECOMMERCE,US,UPI,8,657,0,0,1407,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_56391,5646.24,"Davis, Perkins and Combs",TRAVEL,IN,DEBIT_CARD,3,582,1,1,2182,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_86756,110.54,"Lee, Smith and Thomas",GROCERY,US,DEBIT_CARD,5,898,0,0,570,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_63085,778.97,Flores-Mills,FOOD,IN,UPI,7,53,0,1,1413,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_95858,2334.18,"Cordova, Wood and Wade",GROCERY,CN,NET_BANKING,1,270,0,1,1764,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_88520,1456.19,Garner-Murphy,FOOD,NG,NET_BANKING,4,263,1,0,281,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_43095,1272.09,Mason and Sons,ENTERTAINMENT,CN,WALLET,2,118,0,1,2041,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_60858,2807.12,Ramsey-Anderson,GROCERY,GB,CREDIT_CARD,2,126,1,1,903,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_70314,12190.3,Ray-Zavala,EDUCATION,NG,NET_BANKING,7,253,0,0,392,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_72071,1002.11,"Allen, Williams and Meyers",GROCERY,US,CREDIT_CARD,4,906,0,1,2003,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_29331,798.7,Lowery-Golden,ENTERTAINMENT,US,UPI,8,477,0,0,850,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_40305,2656.01,"Cook, Wilson and Ochoa",HEALTHCARE,GB,WALLET,4,285,1,1,59,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_21859,1564.44,Adkins Group,OTHER,CN,NET_BANKING,4,811,1,1,659,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_63810,5421.0,White Inc,OTHER,IN,CREDIT_CARD,1,841,1,0,2079,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_63150,2499.02,"Thomas, Nelson and Stafford",OTHER,US,NET_BANKING,2,754,0,1,2011,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_20701,5658.39,Le-Bailey,OTHER,GB,CREDIT_CARD,1,368,0,1,1771,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_44939,1754.86,"Campbell, Coleman and Greene",TRAVEL,CN,DEBIT_CARD,4,429,1,0,1935,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_19754,2899.81,Smith-Owens,OTHER,CN,CREDIT_CARD,3,120,0,0,624,1,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_17297,4934.02,"Johnson, Salinas and Daniel",EDUCATION,GB,NET_BANKING,4,663,0,1,998,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_21078,2817.13,"Goodwin, Gomez and Escobar",ENTERTAINMENT,CN,UPI,8,799,0,0,434,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_55240,12777.66,Perez-Smith,FOOD,NG,DEBIT_CARD,4,689,0,0,1454,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_29889,2391.1,Blair-Rasmussen,HEALTHCARE,CN,WALLET,3,581,1,1,1570,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_30747,689.28,Wilson-Wallace,GROCERY,NG,NET_BANKING,1,363,0,0,545,1,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_11503,3800.24,"Morgan, Evans and Miller",TRAVEL,US,WALLET,1,327,1,0,1450,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_13126,454.18,"Hansen, Bauer and Hampton",OTHER,CN,CREDIT_CARD,1,713,0,0,741,1,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_83215,2288.88,Barajas-Henry,ECOMMERCE,CN,NET_BANKING,8,406,0,0,2214,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_80441,617.88,Rivera-Craig,OTHER,IN,UPI,5,240,1,0,1881,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_54009,3106.57,Kennedy-Hudson,OTHER,IN,DEBIT_CARD,6,994,0,0,62,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_14405,2119.65,"Houston, King and Dunn",FOOD,CN,NET_BANKING,4,969,0,1,1857,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_38870,1871.04,"Pearson, Marshall and Nguyen",EDUCATION,CN,CREDIT_CARD,4,634,0,0,748,1,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_46668,684.31,"Crosby, Wright and Cortez",FOOD,IN,UPI,8,459,0,0,2059,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_75680,3449.68,Vargas-Gilbert,ECOMMERCE,GB,DEBIT_CARD,4,692,1,0,2330,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_83867,3289.65,Fletcher-Phillips,GROCERY,IN,UPI,3,886,0,0,977,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_30424,5898.2,"Harmon, Ortega and Dickerson",EDUCATION,GB,NET_BANKING,3,734,0,0,1302,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_96507,6585.93,Adams PLC,TRAVEL,NG,WALLET,1,831,0,0,1146,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_57081,1353.04,Powers and Sons,GROCERY,CN,DEBIT_CARD,3,417,0,0,1690,1,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_25810,4348.96,Williamson LLC,OTHER,NG,NET_BANKING,3,197,0,1,840,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_90439,2311.1,"Meyer, Thomas and Dillon",ENTERTAINMENT,US,WALLET,5,495,0,0,2035,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_39126,3283.11,"Booker, Wolfe and Cohen",ENTERTAINMENT,GB,WALLET,5,580,1,0,1504,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_19846,2173.8,"Delgado, Rasmussen and Maddox",HEALTHCARE,US,UPI,3,145,0,1,1533,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_72457,1277.87,Garcia-Dillon,GROCERY,CN,DEBIT_CARD,2,773,1,1,2294,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_72371,790.75,"Ramirez, Salazar and Willis",EDUCATION,IN,NET_BANKING,2,810,0,1,2370,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_87965,3252.81,Rush-Cruz,GROCERY,IN,CREDIT_CARD,3,372,0,1,1486,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_99192,3151.44,Blake-Velasquez,FOOD,CN,DEBIT_CARD,1,468,0,0,1829,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_49995,10421.92,Moore Ltd,ECOMMERCE,GB,CREDIT_CARD,2,206,0,0,917,1,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_51388,5611.88,Salazar Group,HEALTHCARE,US,UPI,8,33,1,0,1525,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_77225,4670.73,Gonzalez-Goodwin,OTHER,GB,NET_BANKING,3,380,0,0,2471,1,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_72696,3402.13,Arnold-Munoz,EDUCATION,US,WALLET,2,771,0,0,2500,1,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_89477,374.69,Whitney-Hernandez,EDUCATION,US,WALLET,1,602,1,0,826,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_98113,3193.75,"Ryan, York and King",OTHER,US,DEBIT_CARD,3,891,1,1,2108,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_17254,330.74,"Kemp, Brown and Elliott",ENTERTAINMENT,IN,NET_BANKING,3,556,0,0,2008,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_30953,1326.58,Thomas Group,FOOD,US,CREDIT_CARD,1,457,1,0,1724,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_51719,4911.48,Frank Inc,EDUCATION,IN,WALLET,4,572,1,1,324,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_36917,4263.17,Dennis PLC,TRAVEL,US,CREDIT_CARD,2,273,1,0,2180,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_47043,5649.01,"Mahoney, Vaughn and Moody",ENTERTAINMENT,CN,NET_BANKING,4,666,1,0,61,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_51651,4097.6,"Hernandez, Carlson and Roberson",OTHER,US,UPI,4,336,1,0,203,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_74925,4830.94,"Duncan, Kennedy and Lindsey",HEALTHCARE,IN,WALLET,5,214,1,0,1769,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_54208,1334.81,Schroeder-Bailey,HEALTHCARE,CN,DEBIT_CARD,7,981,0,1,459,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_35557,2057.06,"Horne, Williams and Strong",GROCERY,NG,DEBIT_CARD,1,349,0,0,708,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_21246,340.49,Meyers-Smith,OTHER,GB,DEBIT_CARD,2,957,1,0,990,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_75902,2628.37,Kirby Inc,FOOD,US,UPI,2,336,1,0,347,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_79171,5888.38,Reyes-Cooke,GROCERY,GB,NET_BANKING,6,444,0,1,1640,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_47265,884.45,"Hebert, Marshall and Dawson",ENTERTAINMENT,IN,CREDIT_CARD,5,170,0,0,1326,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_36747,5037.02,"Cobb, Dougherty and Lawson",HEALTHCARE,CN,CREDIT_CARD,3,987,0,0,1458,1,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_94726,481.87,Savage Group,ECOMMERCE,NG,WALLET,5,705,1,0,2453,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_16027,2752.43,Stein LLC,TRAVEL,CN,DEBIT_CARD,2,981,0,1,1091,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_53969,1246.3,Fisher-Warren,HEALTHCARE,GB,UPI,1,973,1,0,1247,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_96549,1775.32,"Beasley, Wilkinson and Gonzales",OTHER,US,DEBIT_CARD,8,943,0,1,1592,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_99226,6093.59,Hunter-Pruitt,OTHER,NG,DEBIT_CARD,5,260,0,0,1112,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_62863,2463.2,Miller LLC,EDUCATION,CN,UPI,4,592,1,0,2144,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_38338,3554.32,Scott and Sons,GROCERY,US,NET_BANKING,4,330,0,0,1251,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_25096,1349.77,"Thompson, Jones and Taylor",EDUCATION,NG,WALLET,5,171,0,0,406,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_69286,2665.49,"Bryant, Wallace and Montoya",TRAVEL,IN,WALLET,5,925,0,0,2050,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_21923,2043.45,"Davis, Burke and Hernandez",EDUCATION,NG,WALLET,7,498,1,0,1546,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_43842,4846.29,"Allen, Jordan and Caldwell",TRAVEL,GB,UPI,3,964,0,0,1222,1,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_95290,1566.55,"Nguyen, Fuentes and Taylor",GROCERY,NG,DEBIT_CARD,4,248,0,0,444,1,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_42325,3206.67,"Hogan, Hudson and Hoover",FOOD,NG,NET_BANKING,8,589,0,0,575,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_26301,5514.04,Townsend-Garcia,FOOD,CN,NET_BANKING,3,361,0,0,125,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_90439,2311.1,"Meyer, Thomas and Dillon",ENTERTAINMENT,US,NET_BANKING,1,495,0,1,2035,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_71665,2874.65,Rodriguez Group,GROCERY,CN,DEBIT_CARD,1,683,1,0,2177,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_74624,4004.37,Hernandez PLC,EDUCATION,IN,NET_BANKING,1,729,1,0,708,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_51712,2250.55,Bryant Group,EDUCATION,GB,CREDIT_CARD,2,753,1,0,1058,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_27643,2975.24,Wilson LLC,GROCERY,CN,DEBIT_CARD,2,421,1,1,151,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_57241,4854.21,"Clark, Obrien and Riley",FOOD,US,DEBIT_CARD,2,843,0,0,243,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_73660,1855.87,Rios Ltd,OTHER,NG,UPI,6,755,0,0,835,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_13038,2023.16,Hall Inc,GROCERY,CN,NET_BANKING,6,344,0,0,114,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_57486,2233.75,Rivera and Sons,ECOMMERCE,US,CREDIT_CARD,8,62,1,0,1813,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_27404,765.01,Everett PLC,ECOMMERCE,NG,DEBIT_CARD,4,965,0,1,2185,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_47944,8933.23,Weaver Ltd,TRAVEL,US,UPI,3,887,0,0,339,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_35637,5491.4,Bishop Ltd,OTHER,NG,DEBIT_CARD,4,77,0,1,36,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_83133,1202.43,Archer-Reynolds,EDUCATION,IN,UPI,4,111,0,1,254,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_98950,2145.66,"Garcia, Evans and Craig",FOOD,IN,DEBIT_CARD,2,335,1,0,2445,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_97926,4975.9,Russell Ltd,EDUCATION,US,NET_BANKING,6,677,0,0,1182,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_96587,3817.45,Fry-Elliott,EDUCATION,IN,DEBIT_CARD,4,645,1,0,495,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_79323,1563.6,Walker Group,FOOD,IN,WALLET,1,507,0,1,176,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_11105,1764.13,Chan Ltd,FOOD,CN,WALLET,8,428,1,0,455,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_25309,4104.64,Deleon-Reeves,FOOD,GB,NET_BANKING,4,209,0,0,2324,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_81210,3252.45,"Simmons, Yates and Gutierrez",ECOMMERCE,GB,CREDIT_CARD,2,584,1,0,1807,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_16896,2755.1,Lopez Inc,EDUCATION,IN,UPI,1,94,0,1,141,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_73790,5470.28,Navarro-Watkins,GROCERY,IN,DEBIT_CARD,1,972,1,1,1325,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_69114,5243.86,Logan-Nelson,OTHER,CN,NET_BANKING,1,752,0,0,1502,1,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_39552,1027.32,Snyder-Johnson,ENTERTAINMENT,NG,UPI,3,158,0,1,1447,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_86922,688.49,Beltran-Gomez,HEALTHCARE,GB,NET_BANKING,8,469,0,0,1708,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_48375,1195.02,Reynolds and Sons,FOOD,NG,CREDIT_CARD,6,656,0,0,1461,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_75763,2228.14,Palmer-Henderson,ENTERTAINMENT,NG,NET_BANKING,5,524,0,0,1070,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_74276,603.96,"Long, Brown and Bryant",OTHER,GB,UPI,2,377,0,1,1121,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_52406,3910.88,"Jones, Lyons and Hines",ECOMMERCE,IN,NET_BANKING,3,131,1,0,580,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_82712,12210.73,Simmons LLC,TRAVEL,NG,WALLET,1,144,1,0,2069,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_59465,1256.92,Sawyer Inc,ECOMMERCE,US,DEBIT_CARD,1,44,0,0,856,1,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_72653,1518.09,"Wilson, Turner and Terry",GROCERY,GB,NET_BANKING,7,469,0,1,2036,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_82525,459.88,Thompson-Montoya,EDUCATION,US,CREDIT_CARD,4,527,1,0,2243,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_79922,689.76,Roberts-Flores,EDUCATION,IN,CREDIT_CARD,4,770,0,0,2190,1,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_86756,59.41,"Lee, Smith and Thomas",GROCERY,US,DEBIT_CARD,5,898,0,0,570,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_74843,2904.51,"Stevens, Fitzpatrick and Peterson",ENTERTAINMENT,US,DEBIT_CARD,3,262,1,0,1895,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_43507,1906.01,Arroyo-Reynolds,OTHER,US,DEBIT_CARD,4,144,1,0,1533,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_66613,2838.48,Norman-Morris,ENTERTAINMENT,IN,WALLET,1,286,0,0,520,1,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_92384,1703.98,Snyder PLC,FOOD,CN,CREDIT_CARD,4,187,0,1,2481,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_69096,2710.99,Moreno-Freeman,GROCERY,US,NET_BANKING,2,120,0,1,1604,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_26092,6704.63,Marquez LLC,EDUCATION,CN,NET_BANKING,1,180,0,1,870,0,1,1,ADVERSARIAL_MULTI_SIGNAL
CUST_21204,9119.51,Rose Inc,FOOD,CN,WALLET,2,837,0,0,619,0,1,1,ADVERSARIAL_LOW_AND_SLOW
CUST_66488,981.54,Wood Group,HEALTHCARE,IN,CREDIT_CARD,6,222,0,0,495,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_65627,4070.03,Thornton-Rivas,EDUCATION,CN,CREDIT_CARD,6,277,0,0,1929,1,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_23936,616.53,Miller Group,ENTERTAINMENT,US,UPI,3,935,1,0,1760,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_83324,2884.07,Hudson Inc,TRAVEL,CN,CREDIT_CARD,3,374,1,1,1826,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_21859,1564.44,Adkins Group,OTHER,CN,CREDIT_CARD,7,811,1,0,659,0,0,1,ADVERSARIAL_MULTI_SIGNAL
CUST_84852,1751.18,Ward-Gonzalez,ENTERTAINMENT,IN,UPI,6,157,0,0,1646,0,0,1,ADVERSARIAL_LOW_AND_SLOW
