customer_id,amount,merchant_name,merchant_category,country,payment_method,velocity_1h,device_age_days,account_age_days,is_fraud,attack_type,amount_deviation_ratio,velocity_deviation_ratio,behavioral_deviation_score
CUST_00680,3381.97,"Anderson, Vargas and Taylor",HEALTHCARE,NG,WALLET,6.0,28,564,1,ACCOUNT_TAKEOVER,1.6561235982566964,3.0,2.3280617991283483
CUST_00346,4203.51,"Hoffman, Sanchez and Farmer",FOOD,IN,WALLET,5.5,17,1921,1,MULTI_SIGNAL_ATTACK,1.6206522304879294,2.2,1.9103261152439648
CUST_00804,649.46,Harvey Inc,ENTERTAINMENT,GB,DEBIT_CARD,3.0,739,690,1,MERCHANT_ANOMALY,1.6056069914337632,1.5,1.5528034957168817
CUST_00930,2729.9,Cunningham and Sons,HEALTHCARE,IN,WALLET,5.0,832,565,1,LOW_AND_SLOW_BEHAVIORAL,1.7229974943038016,2.5,2.111498747151901
CUST_00378,4016.76,"Mendoza, Cooper and Hudson",GROCERY,GB,CREDIT_CARD,5.0,28,862,1,ACCOUNT_TAKEOVER,2.0628548391652566,5.0,3.531427419582628
CUST_00344,5616.97,Cannon-Melton,FOOD,IN,NET_BANKING,7.0,28,1562,1,ACCOUNT_TAKEOVER,1.749401627945727,3.5,2.6247008139728636
CUST_00051,676.65,"Watkins, Green and Carpenter",EDUCATION,IN,DEBIT_CARD,2.0,115,347,1,PAYMENT_METHOD_ABUSE,1.4668169649147527,2.0,1.7334084824573763
CUST_00654,1304.54,Mitchell Ltd,HEALTHCARE,GB,CREDIT_CARD,4.0,112,825,1,MERCHANT_ANOMALY,1.3387930194013844,1.3333333333333333,1.3360631763673587
CUST_00463,2345.68,"Blanchard, Lambert and Moreno",TRAVEL,GB,CREDIT_CARD,3.0,252,931,1,MERCHANT_ANOMALY,1.4848096418183487,3.0,2.2424048209091745
CUST_00113,2392.33,Wallace PLC,HEALTHCARE,CN,CREDIT_CARD,2.0,425,1037,1,PAYMENT_METHOD_ABUSE,1.221448994179516,2.0,1.610724497089758
CUST_00820,2461.99,"Harmon, Johnson and Flores",FOOD,NG,NET_BANKING,4.0,12,2414,1,ACCOUNT_TAKEOVER,1.8488127600138173,4.0,2.924406380006909
CUST_00412,2117.09,Whitehead LLC,FOOD,GB,WALLET,4.0,5,1975,1,MULTI_SIGNAL_ATTACK,1.9644885309182694,4.0,2.982244265459135
CUST_00790,1387.35,Phillips-Baldwin,ECOMMERCE,US,WALLET,6.0,5,2065,1,ACCOUNT_TAKEOVER,1.6724631566257795,6.0,3.3362315783128897
CUST_00003,3723.2,"Walter, Scott and Martinez",OTHER,NG,WALLET,7.0,6,491,1,MULTI_SIGNAL_ATTACK,2.444223427965587,2.3333333333333335,2.3887783806494602
CUST_00006,2506.22,Estes and Sons,ECOMMERCE,IN,CREDIT_CARD,6.0,20,2293,1,MULTI_SIGNAL_ATTACK,1.7142349034374025,6.0,3.3571174517187012
CUST_00943,1722.5,Willis Inc,OTHER,NG,WALLET,7.0,16,971,1,ACCOUNT_TAKEOVER,2.086563620505863,3.5,2.7932818102529318
CUST_00157,2040.75,Kelly-Gibson,OTHER,IN,DEBIT_CARD,3.0,847,2260,1,LOW_AND_SLOW_BEHAVIORAL,1.859766794402701,3.0,2.4298833972013503
CUST_00735,1314.37,Spence-Bowman,GROCERY,CN,NET_BANKING,5.0,4,502,1,MULTI_SIGNAL_ATTACK,2.3719952356890204,5.0,3.68599761784451
CUST_00648,3934.69,Ochoa-Sanders,GROCERY,US,WALLET,5.0,12,1364,1,MULTI_SIGNAL_ATTACK,2.4574149829809824,2.5,2.478707491490491
CUST_00536,3930.24,Caldwell-Gonzalez,OTHER,IN,NET_BANKING,3.0,377,1430,1,LOW_AND_SLOW_BEHAVIORAL,1.8636489725662013,3.0,2.4318244862831007
CUST_00983,1131.42,"Johnson, Lyons and Cardenas",HEALTHCARE,US,UPI,3.0,197,955,1,PAYMENT_METHOD_ABUSE,1.2098872367386877,3.0,2.1049436183693437
CUST_00573,1296.69,Arias Ltd,GROCERY,IN,CREDIT_CARD,3.0,971,841,1,MERCHANT_ANOMALY,1.28108003971606,3.0,2.14054001985803
CUST_00806,1517.9,"Castillo, Mcbride and White",EDUCATION,CN,UPI,3.0,579,1534,1,PAYMENT_METHOD_ABUSE,1.140262247546359,3.0,2.0701311237731796
CUST_00089,2453.06,Stokes-Wilson,ECOMMERCE,GB,DEBIT_CARD,7.0,7,2365,1,ACCOUNT_TAKEOVER,1.7336664416889584,2.3333333333333335,2.033499887511146
CUST_00787,3431.82,Williams-Higgins,ECOMMERCE,US,CREDIT_CARD,2.0,543,2056,1,PAYMENT_METHOD_ABUSE,1.1534579505217217,2.0,1.5767289752608609
CUST_00268,10180.05,Morgan Inc,TRAVEL,GB,CREDIT_CARD,4.0,23,126,1,ACCOUNT_TAKEOVER,1.580362922818745,4.0,2.7901814614093725
CUST_00651,1917.63,"Gillespie, Daniels and Miller",TRAVEL,GB,UPI,4.5,127,142,1,LOW_AND_SLOW_BEHAVIORAL,1.6178435839028094,1.8,1.7089217919514046
CUST_00693,2752.8,"Reyes, Wolfe and Reed",FOOD,CN,DEBIT_CARD,5.5,1,2137,1,MULTI_SIGNAL_ATTACK,2.0663641584002344,3.6666666666666665,2.8665154125334507
CUST_00523,1377.8,Barrera-Thompson,OTHER,CN,NET_BANKING,6.0,15,236,1,ACCOUNT_TAKEOVER,1.45574802816827,6.0,3.227874014084135
CUST_00554,12316.03,Roberts-Jones,HEALTHCARE,GB,WALLET,5.0,891,131,1,LOW_AND_SLOW_BEHAVIORAL,1.5741658992477485,2.5,2.0370829496238745
CUST_00565,995.45,"Woods, Wilson and Caldwell",OTHER,GB,CREDIT_CARD,3.0,424,591,1,MERCHANT_ANOMALY,1.2394553842131149,3.0,2.1197276921065575
CUST_00337,1503.73,"Dean, Lee and Cannon",HEALTHCARE,GB,UPI,7.0,5,572,1,MULTI_SIGNAL_ATTACK,1.6110328424729081,7.0,3.305516421236454
CUST_00585,2525.46,"Lee, Pruitt and Burke",HEALTHCARE,US,UPI,7.0,21,1102,1,ACCOUNT_TAKEOVER,1.5166151711961664,3.5,2.508307585598083
CUST_00026,1411.55,Brown-Torres,FOOD,CN,WALLET,3.0,584,2442,1,MERCHANT_ANOMALY,1.6223407312055353,3.0,2.311170365602768
CUST_00152,1889.6,"Joseph, Flowers and Nelson",OTHER,NG,UPI,4.0,256,381,1,MERCHANT_ANOMALY,1.5849689649387686,1.3333333333333333,1.459151149136051
CUST_00473,3809.39,"Davis, Miller and Brown",HEALTHCARE,US,CREDIT_CARD,6.0,13,1756,1,ACCOUNT_TAKEOVER,2.017087092811454,3.0,2.5085435464057273
CUST_00345,2600.26,Mcguire LLC,EDUCATION,CN,NET_BANKING,7.0,17,1421,1,MULTI_SIGNAL_ATTACK,1.6834901736087509,7.0,3.3417450868043757
CUST_00446,3711.96,Sutton Inc,ECOMMERCE,CN,CREDIT_CARD,6.0,4,560,1,MULTI_SIGNAL_ATTACK,1.7409959241870652,6.0,3.3704979620935327
CUST_00972,2106.76,Haynes Ltd,FOOD,CN,DEBIT_CARD,4.0,521,2403,1,LOW_AND_SLOW_BEHAVIORAL,1.6558412977867203,2.0,1.8279206488933601
CUST_00781,4873.08,Reyes PLC,ECOMMERCE,US,NET_BANKING,5.0,427,1984,1,LOW_AND_SLOW_BEHAVIORAL,1.8841096345900303,2.5,2.1920548172950154
CUST_00041,4790.86,Weber-Castillo,EDUCATION,NG,DEBIT_CARD,6.0,11,814,1,ACCOUNT_TAKEOVER,1.7189685887074349,6.0,3.3594842943537175
CUST_00178,1535.02,"Davis, Moore and Peterson",FOOD,CN,NET_BANKING,5.0,528,96,1,LOW_AND_SLOW_BEHAVIORAL,1.5902411229960374,1.6666666666666667,1.628453894831352
CUST_00041,3742.56,"Lopez, Jones and Macdonald",OTHER,GB,CREDIT_CARD,2.0,639,814,1,PAYMENT_METHOD_ABUSE,1.3428367936764793,2.0,1.6714183968382397
