customer_id,amount,merchant_name,merchant_category,country,payment_method,velocity_1h,device_age_days,location_change,new_payment_method,account_age_days,merchant_anomaly,amount_anomaly,is_fraud,attack_type
CUST_55102,4313.32,"Hudson, Stone and Mcdaniel",ECOMMERCE,US,DEBIT_CARD,5,337,0,0,1573,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_29324,1418.62,Donovan PLC,FOOD,IN,CREDIT_CARD,7,434,0,0,1997,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_39872,5810.94,Bates Ltd,TRAVEL,IN,NET_BANKING,6,425,0,0,1996,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_82129,3947.78,Stark Ltd,HEALTHCARE,GB,CREDIT_CARD,7,136,0,0,1695,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_10422,1529.34,Hess Ltd,HEALTHCARE,GB,CREDIT_CARD,5,609,0,0,1304,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_95262,2901.26,Williams Group,OTHER,CN,DEBIT_CARD,6,748,0,0,1287,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_90439,2311.1,"Meyer, Thomas and Dillon",ENTERTAINMENT,US,WALLET,5,495,0,0,2035,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_99226,6093.59,Hunter-Pruitt,OTHER,NG,DEBIT_CARD,5,260,0,0,1112,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_25096,1349.77,"Thompson, Jones and Taylor",EDUCATION,NG,WALLET,5,171,0,0,406,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_69286,2665.49,"Bryant, Wallace and Montoya",TRAVEL,IN,WALLET,5,925,0,0,2050,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_75763,2228.14,Palmer-Henderson,ENTERTAINMENT,NG,NET_BANKING,5,524,0,0,1070,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_86756,59.41,"Lee, Smith and Thomas",GROCERY,US,DEBIT_CARD,5,898,0,0,570,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_84852,1751.18,Ward-Gonzalez,ENTERTAINMENT,IN,UPI,6,157,0,0,1646,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_39156,1735.89,Miller-Aguilar,TRAVEL,CN,DEBIT_CARD,6,180,0,0,2231,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_18380,4808.32,"Lindsey, Olson and Morgan",ENTERTAINMENT,NG,NET_BANKING,6,216,0,0,945,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_14942,932.98,Peterson-Mccoy,TRAVEL,CN,CREDIT_CARD,6,380,0,0,242,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_65823,2961.5,Wallace-Rice,ECOMMERCE,NG,CREDIT_CARD,5,557,0,0,1135,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_72070,1250.62,Beasley Ltd,EDUCATION,CN,CREDIT_CARD,6,513,0,0,2164,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_33170,2542.77,Fernandez-Malone,TRAVEL,IN,CREDIT_CARD,7,758,0,0,651,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_39601,1764.54,"Stewart, Chapman and Reilly",FOOD,US,DEBIT_CARD,6,231,0,0,2264,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_36504,313.05,"Figueroa, Newton and Terry",ENTERTAINMENT,GB,UPI,6,363,0,0,884,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_67058,1439.61,"Campbell, Grimes and Christian",FOOD,GB,UPI,6,694,0,0,1041,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_72637,708.27,Bean Inc,OTHER,US,CREDIT_CARD,6,637,0,0,1832,0,0,1,ADVERSARIAL_LOW_AND_SLOW
CUST_85074,294.22,"Yoder, Griffin and Young",HEALTHCARE,US,WALLET,5,84,0,0,2107,0,0,1,ADVERSARIAL_LOW_AND_SLOW
