customer_id,amount,merchant_name,merchant_category,country,payment_method,velocity_1h,device_age_days,location_change,new_payment_method,account_age_days,merchant_anomaly,amount_anomaly,is_fraud,attack_type
CUST_93810,1429.29,Ho PLC,ENTERTAINMENT,IN,CREDIT_CARD,1,634,0,1,486,0,0,1,PAYMENT_METHOD_ABUSE
CUST_13905,2982.89,Bryant-White,ECOMMERCE,US,WALLET,4,255,0,0,413,0,0,0,LEGITIMATE
CUST_68878,4126.07,"Davis, Rodriguez and Wang",GROCERY,GB,DEBIT_CARD,2,250,0,0,2443,0,0,0,LEGITIMATE
CUST_54118,2655.33,"Carson, Pierce and Ortiz",EDUCATION,IN,CREDIT_CARD,3,856,0,0,448,0,0,0,LEGITIMATE
CUST_15695,544.39,Hill LLC,FOOD,NG,NET_BANKING,3,621,0,0,1911,0,0,0,LEGITIMATE
CUST_35203,4640.54,Hodges-Morgan,ECOMMERCE,NG,UPI,1,419,1,0,314,0,0,1,GEOGRAPHIC_ANOMALY
CUST_93320,1681.62,Smith Inc,HEALTHCARE,US,UPI,1,653,0,0,1524,0,0,0,LEGITIMATE
CUST_93227,2882.93,"Mcdonald, Shaw and Shields",ECOMMERCE,NG,DEBIT_CARD,2,731,0,0,730,0,0,0,LEGITIMATE
CUST_52504,1876.11,Moody-Thompson,GROCERY,US,UPI,3,247,0,0,259,0,0,0,LEGITIMATE
CUST_95909,1671.0,Costa-Montoya,OTHER,CN,DEBIT_CARD,3,794,0,0,2074,0,0,0,LEGITIMATE
CUST_86622,9064.91,Irwin PLC,EDUCATION,US,UPI,15,1,1,1,1784,1,1,1,ACCOUNT_TAKEOVER
CUST_99192,12681.41,Rivas PLC,FOOD,IN,NET_BANKING,15,2,1,1,1759,1,1,1,ACCOUNT_TAKEOVER
CUST_94012,1017.18,Nichols LLC,ENTERTAINMENT,IN,NET_BANKING,3,542,0,0,1423,0,0,0,LEGITIMATE
CUST_33416,1629.24,Morrison Ltd,ENTERTAINMENT,IN,WALLET,2,582,0,0,2109,0,0,0,LEGITIMATE
CUST_79514,1122.54,Cox-Mcbride,HEALTHCARE,IN,NET_BANKING,6,3,1,1,32,1,1,1,ACCOUNT_TAKEOVER
CUST_19071,4077.87,"Johnson, Davis and Johnson",TRAVEL,US,NET_BANKING,4,246,0,0,2211,0,0,0,LEGITIMATE
CUST_80686,1719.77,"Ortiz, Colon and Scott",EDUCATION,GB,UPI,1,283,0,0,853,0,0,0,LEGITIMATE
CUST_39451,3083.41,Phelps-Leonard,GROCERY,GB,WALLET,1,102,0,0,292,0,0,0,LEGITIMATE
CUST_92719,3344.17,Horton Group,FOOD,US,CREDIT_CARD,2,315,0,0,271,0,0,0,LEGITIMATE
CUST_97684,1918.66,"Johns, Mcdowell and Fletcher",TRAVEL,US,WALLET,4,856,0,0,2018,0,0,0,LEGITIMATE
CUST_63354,2597.04,Jackson PLC,FOOD,IN,NET_BANKING,1,719,0,0,809,0,0,0,LEGITIMATE
CUST_95649,3814.65,Jackson-Murray,EDUCATION,IN,UPI,2,224,0,0,433,0,0,0,LEGITIMATE
CUST_80292,1562.97,Jones Group,EDUCATION,US,DEBIT_CARD,1,483,0,0,1867,0,0,0,LEGITIMATE
CUST_82132,18666.36,Wagner-Johnson,GROCERY,NG,CREDIT_CARD,20,1,1,1,431,1,1,1,MULTI_SIGNAL_ATTACK
CUST_61173,2568.158534934662,"Herrera, Crawford and Ray",ENTERTAINMENT,CN,NET_BANKING,19,188,0,0,1116,0,0,1,VELOCITY_ABUSE
CUST_17665,487.55,Carr Ltd,GROCERY,NG,UPI,2,88,0,0,2402,0,0,0,LEGITIMATE
CUST_76562,6147.931958567691,Lynch-Adams,FOOD,US,WALLET,28,152,0,0,358,0,0,1,VELOCITY_ABUSE
CUST_91183,1291.31,"Gonzales, Martin and Walker",HEALTHCARE,CN,DEBIT_CARD,2,301,0,1,365,0,0,1,PAYMENT_METHOD_ABUSE
CUST_98039,184.65,"Serrano, Black and Nixon",HEALTHCARE,CN,CREDIT_CARD,1,105,0,0,1258,0,0,0,LEGITIMATE
CUST_80468,4338.39,Potter-Jones,ENTERTAINMENT,US,DEBIT_CARD,2,408,1,0,903,0,0,1,GEOGRAPHIC_ANOMALY
CUST_67433,5889.971398154276,Hernandez-Combs,TRAVEL,GB,UPI,7,9,0,1,29,1,1,1,SYNTHETIC_IDENTITY
CUST_37607,3723.44,Nelson Group,ENTERTAINMENT,US,UPI,1,124,0,1,1434,0,0,1,PAYMENT_METHOD_ABUSE
CUST_15778,972.3,Thompson-Hamilton,TRAVEL,GB,UPI,4,604,0,0,44,0,0,0,LEGITIMATE
CUST_11267,267.17,Simmons-Davis,TRAVEL,IN,WALLET,2,470,0,0,488,0,0,0,LEGITIMATE
CUST_26704,5443.25,Blair Ltd,HEALTHCARE,GB,CREDIT_CARD,2,712,0,0,201,0,0,0,LEGITIMATE
CUST_23473,56058.78,"Meyer, Perry and Smith",TRAVEL,NG,WALLET,2,915,0,0,1478,1,1,1,TRANSACTION_ANOMALY
CUST_64040,52148.07,"Jones, Martinez and Mccall",FOOD,US,NET_BANKING,2,303,0,0,131,1,1,1,TRANSACTION_ANOMALY
CUST_60140,2101.35,Smith Ltd,ECOMMERCE,CN,DEBIT_CARD,3,870,0,0,188,0,0,0,LEGITIMATE
CUST_39831,1186.06,Johnson-Harris,ECOMMERCE,IN,UPI,3,389,0,1,943,0,0,1,PAYMENT_METHOD_ABUSE
CUST_13617,5057.39,Todd Inc,TRAVEL,GB,WALLET,1,640,0,0,502,0,0,0,LEGITIMATE
CUST_66959,5833.44,Friedman-Phillips,EDUCATION,GB,WALLET,2,290,0,0,1445,0,0,0,LEGITIMATE
CUST_15817,2367.49,Alvarez-Vaughan,EDUCATION,IN,UPI,3,668,0,0,1816,1,0,1,MERCHANT_ANOMALY
CUST_26334,1714.63,Lane Group,ENTERTAINMENT,NG,WALLET,2,226,0,1,1260,0,0,1,PAYMENT_METHOD_ABUSE
CUST_98777,2617.06,Schmidt PLC,ENTERTAINMENT,NG,NET_BANKING,3,245,0,0,742,0,0,0,LEGITIMATE
CUST_66346,26891.94,"Benson, Holmes and Beard",ENTERTAINMENT,NG,NET_BANKING,4,842,0,0,2405,1,1,1,TRANSACTION_ANOMALY
CUST_77561,1048.24,"Butler, Alvarado and Gibbs",ECOMMERCE,IN,UPI,1,77,0,0,1402,0,0,0,LEGITIMATE
CUST_42092,1937.2,Hatfield Inc,FOOD,NG,NET_BANKING,2,765,0,0,1976,0,0,0,LEGITIMATE
CUST_60328,4234.18,Snyder-Nguyen,ECOMMERCE,CN,DEBIT_CARD,1,827,0,0,2054,0,0,0,LEGITIMATE
CUST_65724,37422.89,Moreno Inc,HEALTHCARE,US,CREDIT_CARD,1,497,0,0,926,1,1,1,TRANSACTION_ANOMALY
CUST_68008,2108.08,Lam Ltd,OTHER,CN,DEBIT_CARD,3,799,0,0,2097,0,0,0,LEGITIMATE
CUST_42406,1641.07,"Mooney, Miller and Collier",OTHER,NG,DEBIT_CARD,3,270,0,0,1165,0,0,0,LEGITIMATE
CUST_45614,835.04,"Golden, Cole and Braun",FOOD,GB,DEBIT_CARD,2,753,0,0,1405,0,0,0,LEGITIMATE
CUST_38043,2329.92,Walls-Alexander,EDUCATION,CN,UPI,2,882,0,0,293,0,0,0,LEGITIMATE
CUST_65069,2335.62,"Newton, Hicks and Jenkins",GROCERY,NG,WALLET,3,335,0,0,1625,0,0,0,LEGITIMATE
CUST_61116,1576.24,Barnett-Garcia,ECOMMERCE,NG,NET_BANKING,1,428,0,0,1746,0,0,0,LEGITIMATE
CUST_54057,6050.03,Massey Ltd,OTHER,US,DEBIT_CARD,4,636,0,0,1686,0,0,0,LEGITIMATE
CUST_83975,3445.96,Page-Johnson,EDUCATION,IN,DEBIT_CARD,3,418,0,0,141,0,0,0,LEGITIMATE
CUST_52906,3555.98,Cordova and Sons,HEALTHCARE,CN,UPI,4,288,0,0,896,0,0,0,LEGITIMATE
CUST_20735,1381.97,Humphrey Ltd,GROCERY,IN,UPI,1,802,0,0,1956,0,0,0,LEGITIMATE
CUST_14067,1158.61,Rogers Ltd,GROCERY,US,WALLET,1,607,0,0,1042,0,0,0,LEGITIMATE
CUST_38569,45527.62,Johnson-Brown,FOOD,GB,DEBIT_CARD,1,826,0,0,1934,1,1,1,TRANSACTION_ANOMALY
CUST_85849,4500.03,Lindsey-Young,EDUCATION,GB,NET_BANKING,2,134,0,0,135,0,0,0,LEGITIMATE
CUST_49529,1994.59,Gordon-Mercado,FOOD,IN,UPI,1,548,0,0,2489,1,0,1,MERCHANT_ANOMALY
CUST_65057,40108.34,Oliver PLC,ENTERTAINMENT,IN,UPI,2,475,0,0,2037,1,1,1,TRANSACTION_ANOMALY
CUST_90728,5009.27,Duarte and Sons,OTHER,CN,NET_BANKING,3,902,0,0,2234,0,0,0,LEGITIMATE
CUST_42177,5091.49,White-Martinez,OTHER,GB,DEBIT_CARD,4,374,0,0,384,0,0,0,LEGITIMATE
CUST_13761,1196.25,Johnson and Sons,TRAVEL,IN,NET_BANKING,3,316,1,0,2054,0,0,1,GEOGRAPHIC_ANOMALY
CUST_77715,18414.84,Ross and Sons,ECOMMERCE,US,NET_BANKING,15,2,1,1,812,1,1,1,MULTI_SIGNAL_ATTACK
CUST_41890,3114.94,Gregory-Ellis,HEALTHCARE,NG,NET_BANKING,3,390,0,0,1284,0,0,0,LEGITIMATE
CUST_69473,653.49,"Weaver, Juarez and Harris",ENTERTAINMENT,GB,DEBIT_CARD,1,790,0,0,1139,0,0,0,LEGITIMATE
CUST_80236,1665.18,Olsen-Wheeler,ECOMMERCE,US,NET_BANKING,3,132,0,0,788,0,0,0,LEGITIMATE
CUST_35443,12973.64,Walker Group,HEALTHCARE,CN,DEBIT_CARD,7,3,1,1,1243,1,1,1,ACCOUNT_TAKEOVER
CUST_23446,2475.46,"Castillo, Barajas and Meza",ENTERTAINMENT,NG,NET_BANKING,1,288,0,0,80,0,0,0,LEGITIMATE
CUST_72616,772.92,"Lawson, Brennan and Barnes",EDUCATION,IN,NET_BANKING,1,185,0,0,497,0,0,0,LEGITIMATE
CUST_29555,265.21,Mendez LLC,FOOD,GB,WALLET,2,824,0,1,2335,0,0,1,PAYMENT_METHOD_ABUSE
CUST_68028,3531.34,Webb Inc,EDUCATION,NG,UPI,1,1000,0,0,1247,0,0,0,LEGITIMATE
CUST_37235,1380.76,Burns PLC,FOOD,GB,DEBIT_CARD,2,32,0,0,894,0,0,0,LEGITIMATE
CUST_63545,326.77,"Bernard, Conley and Miller",OTHER,NG,UPI,3,749,0,0,1875,0,0,0,LEGITIMATE
CUST_69510,1915.3993102156276,Vargas-Morrow,ENTERTAINMENT,US,WALLET,30,147,0,0,321,0,0,1,VELOCITY_ABUSE
CUST_44816,2014.76,"Hill, Schultz and Evans",GROCERY,IN,DEBIT_CARD,3,479,0,0,612,0,0,0,LEGITIMATE
CUST_26299,2459.36,"Flynn, Hayes and Martin",EDUCATION,GB,UPI,1,642,0,0,1949,0,0,0,LEGITIMATE
CUST_15224,695.36,Schultz Group,ENTERTAINMENT,IN,CREDIT_CARD,1,813,1,0,1799,0,0,1,GEOGRAPHIC_ANOMALY
CUST_32962,1466.91,"Sanchez, Fleming and Poole",OTHER,NG,UPI,4,123,0,0,1957,0,0,0,LEGITIMATE
CUST_71605,16073.51,Hays Ltd,HEALTHCARE,NG,UPI,22,0,1,1,1455,1,1,1,MULTI_SIGNAL_ATTACK
CUST_43082,3318.89,Ross Inc,EDUCATION,IN,WALLET,4,453,0,0,1354,0,0,0,LEGITIMATE
CUST_17104,3350.38,Bailey-Reynolds,HEALTHCARE,NG,WALLET,1,238,0,0,798,0,0,0,LEGITIMATE
CUST_45003,5441.42,Ortiz-Diaz,ENTERTAINMENT,US,NET_BANKING,1,675,0,0,2279,0,0,0,LEGITIMATE
CUST_89806,298.52,Hicks-Hunt,ENTERTAINMENT,US,WALLET,2,891,0,0,1010,0,0,0,LEGITIMATE
CUST_24871,4057.34,"Perez, Montgomery and Gonzalez",TRAVEL,IN,NET_BANKING,3,455,0,0,1920,0,0,0,LEGITIMATE
CUST_73242,1009.03,"Collins, Williams and Solis",OTHER,US,WALLET,2,914,0,0,1964,0,0,0,LEGITIMATE
CUST_19150,1518.41,White Group,HEALTHCARE,CN,WALLET,3,887,0,0,1161,0,0,0,LEGITIMATE
CUST_86931,3459.66,"Tanner, Schmitt and Wu",TRAVEL,CN,NET_BANKING,4,496,0,0,2405,0,0,0,LEGITIMATE
CUST_52176,3552.6,Aguilar Inc,EDUCATION,US,DEBIT_CARD,3,792,0,0,802,0,0,0,LEGITIMATE
CUST_71993,4435.41,Underwood LLC,TRAVEL,CN,NET_BANKING,3,920,0,0,1591,0,0,0,LEGITIMATE
CUST_23154,3308.19,Smith Group,OTHER,IN,CREDIT_CARD,2,106,0,0,1833,0,0,0,LEGITIMATE
CUST_71537,38807.6,Miller-Brown,EDUCATION,IN,CREDIT_CARD,15,0,1,1,1115,1,1,1,MULTI_SIGNAL_ATTACK
CUST_47667,45966.3,Garcia-Rodriguez,GROCERY,IN,CREDIT_CARD,1,484,0,0,961,1,1,1,TRANSACTION_ANOMALY
CUST_16028,2129.72,Hamilton-Cooper,ENTERTAINMENT,IN,UPI,4,609,0,0,1358,0,0,0,LEGITIMATE
CUST_99364,3129.56,Price Group,TRAVEL,US,CREDIT_CARD,2,539,0,0,767,0,0,0,LEGITIMATE
CUST_86435,2264.84,"Smith, Franco and Johnson",OTHER,GB,UPI,4,952,1,0,616,0,0,1,GEOGRAPHIC_ANOMALY
CUST_19681,2270.27,"Glenn, Hartman and Powell",ENTERTAINMENT,GB,NET_BANKING,3,233,0,0,1839,0,0,0,LEGITIMATE
CUST_60422,2635.51,Garrett-Campbell,ECOMMERCE,IN,NET_BANKING,3,52,0,0,2009,0,0,0,LEGITIMATE
CUST_96275,39575.4,Long LLC,GROCERY,CN,WALLET,15,2,1,1,1651,1,1,1,MULTI_SIGNAL_ATTACK
CUST_91381,1345.35,Mccarty-Hooper,FOOD,US,CREDIT_CARD,3,779,0,0,1056,0,0,0,LEGITIMATE
CUST_27224,1001.01,Nelson Inc,HEALTHCARE,GB,NET_BANKING,3,573,0,0,399,0,0,0,LEGITIMATE
CUST_75771,5332.69,Graham-Marquez,ENTERTAINMENT,US,NET_BANKING,3,853,0,0,1146,0,0,0,LEGITIMATE
CUST_25095,6369.84,Davis-Daniels,GROCERY,IN,DEBIT_CARD,4,896,0,0,1948,1,0,1,MERCHANT_ANOMALY
CUST_61717,2055.16,James Inc,FOOD,GB,UPI,3,628,0,1,87,0,0,1,PAYMENT_METHOD_ABUSE
CUST_24201,4730.49,"Love, Pennington and Burnett",GROCERY,CN,WALLET,2,693,0,0,987,0,0,0,LEGITIMATE
CUST_18285,9339.600875645885,Bates and Sons,TRAVEL,GB,NET_BANKING,10,5,0,1,4,1,1,1,SYNTHETIC_IDENTITY
CUST_97881,1739.71,Black-Leonard,TRAVEL,IN,NET_BANKING,4,991,1,0,2242,0,0,1,GEOGRAPHIC_ANOMALY
CUST_58566,4277.62,Carlson LLC,OTHER,CN,DEBIT_CARD,3,587,0,0,919,0,0,0,LEGITIMATE
CUST_94518,1127.81,Jones Ltd,EDUCATION,IN,UPI,4,123,0,0,1499,0,0,0,LEGITIMATE
CUST_96870,6425.45,Wright-Chen,GROCERY,NG,CREDIT_CARD,2,835,0,0,898,0,0,0,LEGITIMATE
CUST_84000,15934.98,Vargas-Perkins,GROCERY,IN,WALLET,3,822,0,0,870,1,1,1,TRANSACTION_ANOMALY
CUST_46342,782.51,"Clark, Peterson and Tucker",OTHER,US,DEBIT_CARD,2,45,0,0,622,1,0,1,MERCHANT_ANOMALY
CUST_41186,1460.97,"Wilson, Foley and Williams",GROCERY,GB,DEBIT_CARD,4,568,0,0,2441,0,0,0,LEGITIMATE
CUST_24896,1885.33,"Williams, Mack and Curry",OTHER,CN,UPI,2,998,0,0,290,0,0,0,LEGITIMATE
CUST_90623,4227.45,"Rivas, Austin and Reid",ENTERTAINMENT,NG,NET_BANKING,4,897,0,0,207,0,0,0,LEGITIMATE
CUST_62640,656.67,"Fowler, Warren and Marshall",OTHER,IN,NET_BANKING,2,97,0,0,1776,0,0,0,LEGITIMATE
CUST_26540,5957.9,Moody-Stewart,HEALTHCARE,NG,NET_BANKING,4,547,0,0,1156,0,0,0,LEGITIMATE
