customer_id,amount,merchant_name,merchant_category,country,payment_method,velocity_1h,device_age_days,account_age_days,is_fraud,attack_type,amount_deviation_ratio,velocity_deviation_ratio,behavioral_deviation_score
CUST_00051,676.65,"Watkins, Green and Carpenter",EDUCATION,IN,DEBIT_CARD,2.0,115,347,1,PAYMENT_METHOD_ABUSE,1.4668169649147529,2.0,1.7334084824573763
CUST_00654,1304.54,Mitchell Ltd,HEALTHCARE,GB,CREDIT_CARD,4.0,112,825,1,MERCHANT_ANOMALY,1.3387930194013844,1.3333333333333333,1.3360631763673587
CUST_00113,2392.33,Wallace PLC,HEALTHCARE,CN,CREDIT_CARD,2.0,425,1037,1,PAYMENT_METHOD_ABUSE,1.221448994179516,2.0,1.610724497089758
CUST_00787,3431.82,Williams-Higgins,ECOMMERCE,US,CREDIT_CARD,2.0,543,2056,1,PAYMENT_METHOD_ABUSE,1.1534579505217215,2.0,1.5767289752608609
CUST_00041,3742.56,"Lopez, Jones and Macdonald",OTHER,GB,CREDIT_CARD,2.0,639,814,1,PAYMENT_METHOD_ABUSE,1.3428367936764791,2.0,1.6714183968382397
CUST_00562,1027.08,Scott and Sons,GROCERY,US,WALLET,2.0,649,1626,1,MERCHANT_ANOMALY,1.5410977402994928,2.0,1.7705488701497465
CUST_00799,1668.83,"Mcclure, Chavez and Roberts",EDUCATION,NG,NET_BANKING,3.0,108,1803,1,PAYMENT_METHOD_ABUSE,1.157157913713961,1.5,1.3285789568569806
CUST_00700,1794.46,"Lynch, Fox and Bell",FOOD,US,WALLET,2.0,912,1816,1,PAYMENT_METHOD_ABUSE,1.3456212904604612,2.0,1.6728106452302307
CUST_00615,1405.8,Jordan Group,ENTERTAINMENT,US,DEBIT_CARD,2.0,952,340,1,MERCHANT_ANOMALY,1.665847054432127,2.0,1.832923527216064
CUST_00404,2015.49,Anderson LLC,EDUCATION,CN,UPI,2.0,646,1539,1,MERCHANT_ANOMALY,1.7189020464033362,2.0,1.859451023201668
CUST_00820,1870.21,"Gray, Kerr and Monroe",EDUCATION,IN,UPI,2.0,685,2414,1,MERCHANT_ANOMALY,1.404420047159185,2.0,1.7022100235795925
CUST_00928,1019.04,Schwartz-Russell,FOOD,GB,CREDIT_CARD,3.5,798,945,1,PAYMENT_METHOD_ABUSE,1.2646314221891288,1.4,1.3323157110945645
CUST_00578,3229.07,Cline-Ortiz,OTHER,US,WALLET,2.0,973,1326,1,MERCHANT_ANOMALY,1.3340205035621997,2.0,1.6670102517810998
CUST_00316,2121.2,Henderson Group,EDUCATION,IN,DEBIT_CARD,4.0,222,1584,1,PAYMENT_METHOD_ABUSE,1.1027097277275977,1.3333333333333333,1.2180215305304654
CUST_00404,1698.58,"Reyes, Miller and Bush",FOOD,CN,UPI,2.0,646,1539,1,MERCHANT_ANOMALY,1.4486267051584372,2.0,1.7243133525792187
CUST_00970,4904.04,"Adams, Gilmore and Moore",EDUCATION,NG,UPI,2.0,191,246,1,PAYMENT_METHOD_ABUSE,1.5688836351479534,2.0,1.784441817573977
CUST_00737,1495.83,"Simpson, Larson and Palmer",ECOMMERCE,GB,DEBIT_CARD,2.0,110,1871,1,MERCHANT_ANOMALY,1.7011890342721645,2.0,1.850594517136082
CUST_00729,2401.08,Lawrence-Baker,OTHER,GB,UPI,2.0,731,2355,1,MERCHANT_ANOMALY,1.6847260569532103,2.0,1.8423630284766053
CUST_00329,2343.4,Rosario LLC,GROCERY,IN,DEBIT_CARD,2.0,998,578,1,PAYMENT_METHOD_ABUSE,1.4628878207129037,2.0,1.7314439103564516
CUST_00778,957.89,Peters-Grant,HEALTHCARE,US,DEBIT_CARD,2.5,496,1990,1,MERCHANT_ANOMALY,1.455804127785039,1.6666666666666667,1.561235397225853
CUST_00797,1839.33,Anderson-Steele,ENTERTAINMENT,GB,NET_BANKING,2.0,643,276,1,MERCHANT_ANOMALY,1.7310526563455837,2.0,1.865526328172792
CUST_00539,4347.64,Wilson-Luna,ECOMMERCE,CN,NET_BANKING,2.0,179,1477,1,MERCHANT_ANOMALY,1.4232555246561465,2.0,1.7116277623280731
CUST_00550,1363.14,Newman LLC,FOOD,CN,CREDIT_CARD,3.5,197,366,1,PAYMENT_METHOD_ABUSE,1.1067412537449155,1.4,1.2533706268724578
CUST_00857,2250.99,"Ponce, Steele and Dunn",FOOD,GB,NET_BANKING,2.0,116,1934,1,MERCHANT_ANOMALY,1.206538168798173,2.0,1.6032690843990869
CUST_00273,969.28,Ward-Pratt,ENTERTAINMENT,CN,NET_BANKING,3.0,344,2436,1,PAYMENT_METHOD_ABUSE,1.219534596971546,1.5,1.359767298485773
CUST_00115,1765.85,Gomez-Mills,GROCERY,US,UPI,2.5,359,2097,1,PAYMENT_METHOD_ABUSE,1.5540623789910937,1.6666666666666667,1.6103645228288803
CUST_00790,1046.06,"Koch, Thomas and Ray",GROCERY,NG,UPI,2.0,591,2065,1,MERCHANT_ANOMALY,1.2610349296284016,2.0,1.630517464814201
CUST_00682,3094.38,Dunn Group,GROCERY,NG,UPI,2.0,950,2229,1,PAYMENT_METHOD_ABUSE,1.4503637181746598,2.0,1.7251818590873298
CUST_00305,1667.9,Carter-Brown,OTHER,GB,DEBIT_CARD,3.0,512,524,1,PAYMENT_METHOD_ABUSE,1.1742632253340657,1.5,1.3371316126670327
CUST_00088,900.55,Adams PLC,EDUCATION,IN,NET_BANKING,2.5,223,1324,1,MERCHANT_ANOMALY,1.563034252935408,1.6666666666666667,1.6148504598010374
CUST_00814,829.45,"Sanders, Wilson and Moore",OTHER,US,DEBIT_CARD,2.0,787,1903,1,PAYMENT_METHOD_ABUSE,1.326133356782554,2.0,1.663066678391277
CUST_00420,2258.7,Martin-Hammond,HEALTHCARE,GB,DEBIT_CARD,2.0,113,1726,1,MERCHANT_ANOMALY,1.6611202835825836,2.0,1.830560141791292
CUST_00784,1761.18,"Mcdonald, Vasquez and Morris",TRAVEL,IN,DEBIT_CARD,2.5,646,1451,1,MERCHANT_ANOMALY,1.2167845212639172,1.6666666666666667,1.441725593965292
CUST_00440,3289.64,Miller Inc,HEALTHCARE,GB,DEBIT_CARD,3.0,381,2064,1,PAYMENT_METHOD_ABUSE,1.1782947957727183,1.5,1.339147397886359
CUST_00447,1080.79,Horn Ltd,ECOMMERCE,GB,WALLET,4.0,897,145,1,PAYMENT_METHOD_ABUSE,1.3588176869208817,1.3333333333333333,1.3460755101271074
CUST_00586,3805.23,Lewis-Miller,ENTERTAINMENT,US,WALLET,2.0,491,99,1,PAYMENT_METHOD_ABUSE,1.148492110441743,2.0,1.5742460552208717
CUST_00201,1276.63,Bartlett-Frey,ECOMMERCE,CN,DEBIT_CARD,3.5,698,1848,1,MERCHANT_ANOMALY,1.2049419770739835,1.4,1.3024709885369918
CUST_00886,968.42,Kirby-Hampton,FOOD,US,NET_BANKING,2.0,251,1300,1,PAYMENT_METHOD_ABUSE,1.511538431522511,2.0,1.7557692157612554
CUST_00415,1608.09,"Good, Hebert and Pierce",ENTERTAINMENT,US,DEBIT_CARD,2.0,729,366,1,PAYMENT_METHOD_ABUSE,1.2164621692361226,2.0,1.6082310846180614
CUST_00545,979.1,Pena-Phillips,TRAVEL,NG,CREDIT_CARD,2.0,304,142,1,MERCHANT_ANOMALY,1.4743594569972216,2.0,1.7371797284986108
CUST_00029,3106.03,"Tucker, Crawford and Peterson",HEALTHCARE,NG,NET_BANKING,2.0,208,698,1,MERCHANT_ANOMALY,1.3204253718177354,2.0,1.6602126859088675
CUST_00946,3582.75,Garza-Reyes,FOOD,NG,CREDIT_CARD,2.0,390,326,1,MERCHANT_ANOMALY,1.7885892722085353,2.0,1.894294636104268
CUST_00525,3777.61,Diaz-Brown,TRAVEL,NG,CREDIT_CARD,2.5,546,498,1,MERCHANT_ANOMALY,1.2486336494903971,1.6666666666666667,1.457650158078532
CUST_00449,1162.07,Moore LLC,EDUCATION,IN,DEBIT_CARD,2.0,444,931,1,MERCHANT_ANOMALY,1.2395942226868346,2.0,1.6197971113434173
CUST_00640,1322.21,"Clark, Davis and Vaughn",HEALTHCARE,NG,DEBIT_CARD,2.0,373,1240,1,PAYMENT_METHOD_ABUSE,1.4251868778597567,2.0,1.7125934389298785
CUST_00005,2717.26,Brady Ltd,EDUCATION,NG,UPI,2.0,670,1631,1,MERCHANT_ANOMALY,1.4842656674186518,2.0,1.7421328337093258
CUST_00087,1388.07,Pearson-Hernandez,OTHER,IN,NET_BANKING,2.5,731,2074,1,MERCHANT_ANOMALY,1.2450119068440808,1.6666666666666667,1.4558392867553738
CUST_00598,2076.81,"Hoffman, Brown and Reynolds",ECOMMERCE,CN,UPI,2.0,746,725,1,MERCHANT_ANOMALY,1.5134451699411182,2.0,1.756722584970559
CUST_00624,2883.89,"Griffith, White and Hensley",TRAVEL,GB,UPI,2.0,938,2219,1,MERCHANT_ANOMALY,1.375947670008063,2.0,1.6879738350040316
CUST_00519,552.44,"Chandler, Jones and Phillips",TRAVEL,GB,DEBIT_CARD,2.0,411,2007,1,MERCHANT_ANOMALY,1.5140527577937652,2.0,1.7570263788968823
CUST_00415,1617.4,Bean and Sons,HEALTHCARE,US,CREDIT_CARD,2.0,729,366,1,MERCHANT_ANOMALY,1.2235048489341422,2.0,1.6117524244670711
CUST_00894,1856.4,Armstrong Ltd,HEALTHCARE,CN,CREDIT_CARD,2.0,907,2088,1,MERCHANT_ANOMALY,1.6444180669849682,2.0,1.822209033492484
CUST_00852,666.75,"Coleman, Travis and Davis",EDUCATION,GB,WALLET,2.0,153,1786,1,PAYMENT_METHOD_ABUSE,1.2659850189399335,2.0,1.6329925094699669
CUST_00483,2566.93,"Mayer, Mills and Lee",GROCERY,NG,NET_BANKING,2.0,222,1815,1,PAYMENT_METHOD_ABUSE,1.111217892524507,2.0,1.5556089462622538
CUST_00581,2358.24,Morris Inc,FOOD,IN,CREDIT_CARD,2.0,838,612,1,MERCHANT_ANOMALY,1.221313321991501,2.0,1.6106566609957509
CUST_00294,1604.21,"Kemp, Ramos and Smith",GROCERY,IN,WALLET,2.0,351,432,1,PAYMENT_METHOD_ABUSE,1.1300436742744435,2.0,1.5650218371372218
CUST_00851,1329.49,Chapman-Lee,OTHER,GB,UPI,2.0,646,254,1,PAYMENT_METHOD_ABUSE,1.5509682687820812,2.0,1.7754841343910406
CUST_00215,854.89,"Erickson, Williams and Oliver",EDUCATION,US,DEBIT_CARD,3.0,272,2236,1,PAYMENT_METHOD_ABUSE,1.1465184271230084,1.5,1.3232592135615042
CUST_00410,2057.51,Flowers and Sons,ENTERTAINMENT,GB,DEBIT_CARD,2.0,577,584,1,MERCHANT_ANOMALY,1.3297936971639823,2.0,1.6648968485819913
CUST_00971,1579.71,"Jackson, Montes and Medina",OTHER,US,NET_BANKING,2.0,472,415,1,MERCHANT_ANOMALY,1.4510990878443548,2.0,1.7255495439221775
CUST_00298,1913.83,Garner-Brown,TRAVEL,GB,NET_BANKING,2.0,145,1471,1,PAYMENT_METHOD_ABUSE,1.4090151110783895,2.0,1.7045075555391949
CUST_00741,1485.01,Miller LLC,GROCERY,US,DEBIT_CARD,2.0,679,1657,1,PAYMENT_METHOD_ABUSE,1.3037782977247685,2.0,1.6518891488623844
CUST_00137,680.31,Ortiz-Maxwell,EDUCATION,NG,WALLET,2.0,976,739,1,PAYMENT_METHOD_ABUSE,1.1656029675064892,2.0,1.5828014837532445
CUST_00579,1857.24,"Peters, Lowe and Rivera",GROCERY,NG,UPI,2.0,169,508,1,PAYMENT_METHOD_ABUSE,1.47765896505633,2.0,1.738829482528165
CUST_00149,1707.01,Carr-Blair,EDUCATION,CN,WALLET,2.0,256,2445,1,MERCHANT_ANOMALY,1.579731067862332,2.0,1.789865533931166
CUST_00774,5714.75,Johnson and Sons,HEALTHCARE,CN,WALLET,2.0,268,1342,1,MERCHANT_ANOMALY,1.6747747087698732,2.0,1.8373873543849368
CUST_00206,1201.36,"Klein, Mcgee and Jackson",TRAVEL,NG,NET_BANKING,2.0,428,1511,1,MERCHANT_ANOMALY,1.6656175911933118,2.0,1.832808795596656
CUST_00511,4998.74,Nelson and Sons,FOOD,GB,WALLET,2.0,870,1847,1,PAYMENT_METHOD_ABUSE,1.5108415090461769,2.0,1.7554207545230884
CUST_00790,1084.21,"Gilbert, Valenzuela and Barnett",ECOMMERCE,NG,UPI,2.0,591,2065,1,MERCHANT_ANOMALY,1.3070251047286097,2.0,1.6535125523643048
CUST_00506,1673.92,Evans and Sons,FOOD,NG,NET_BANKING,3.0,284,1359,1,PAYMENT_METHOD_ABUSE,1.115162335823804,3.0,2.057581167911902
CUST_00271,1405.59,"Diaz, Chapman and Preston",EDUCATION,NG,CREDIT_CARD,2.0,506,1876,1,PAYMENT_METHOD_ABUSE,1.3968249236043824,2.0,1.6984124618021912
CUST_00275,668.09,Rosales PLC,ENTERTAINMENT,IN,DEBIT_CARD,2.0,839,854,1,MERCHANT_ANOMALY,1.6957674979376864,2.0,1.8478837489688436
